x;TYPE;LIBELLE;IMP;NB;URL
x;FOOTBALL_SPORTIF;Kylian Mbappé;140527;3;https://www.lequipe.fr/Football/FootballFicheJoueur58221.html
x;FOOTBALL_SPORTIF;Neymar;17076;20;https://www.lequipe.fr/Football/FootballFicheJoueur39792.html
x;TENNIS_SPORTIF;Novak Djokovic;13662;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur58221.html
x;FOOTBALL_SPORTIF;Edinson Cavani;6277;3;https://www.lequipe.fr/Football/FootballFicheJoueur26337.html
x;TENNIS_SPORTIF;Jo-Wilfried Tsonga;5309;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur3153.html
x;TENNIS_SPORTIF;Andy Murray;5049;3;https://www.lequipe.fr/Tennis/TennisFicheJoueur26337.html
x;FOOTBALL_SPORTIF;André-Pierre Gignac;4424;9;https://www.lequipe.fr/Football/FootballFicheJoueur21222.html
x;TENNIS_SPORTIF;Caroline Garcia;4311;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur3233.html
x;FOOTBALL_SPORTIF;Florian Thauvin;3755;6;https://www.lequipe.fr/Football/FootballFicheJoueur40841.html
x;FOOTBALL_SPORTIF;Thiago Silva;3698;2;https://www.lequipe.fr/Football/FootballFicheJoueur29652.html
x;FOOTBALL_SPORTIF;Luis Suarez;3471;2;https://www.lequipe.fr/Football/FootballFicheJoueur25656.html
x;TENNIS_SPORTIF;Gilles Simon;3469;4;https://www.lequipe.fr/Tennis/TennisFicheJoueur29652.html
x;FOOTBALL_SPORTIF;Gareth Bale;3312;2;https://www.lequipe.fr/Football/FootballFicheJoueur25711.html
x;CYCLISME_SPORTIF;Julian Alaphilippe;2944;4;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur58221.html
x;CYCLISME_SPORTIF;Thibaut Pinot;2866;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur39792.html
x;FOOTBALL_SPORTIF;Wayne Rooney;2857;1;https://www.lequipe.fr/Football/FootballFicheJoueur16673.html
x;BASKET_SPORTIF;LeBron James;2826;3;https://www.lequipe.fr/Basket/BasketFicheJoueur58221.html
x;BASKET_SPORTIF;Tony Parker;2789;25;https://www.lequipe.fr/Basket/BasketFicheJoueur39792.html
x;CYCLISME_SPORTIF;Christopher Froome;2675;6;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur3233.html
x;ATHLETISME_SPORTIF;Renaud Lavillenie;2524;4;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete58221.html
x;FOOTBALL_SPORTIF;Michel Platini;2516;1;https://www.lequipe.fr/Football/FootballFicheJoueur9663.html
x;FOOTBALL_SPORTIF;Pierre-Emerick Aubameyang;2483;4;https://www.lequipe.fr/Football/FootballFicheJoueur29427.html
x;FOOTBALL_SPORTIF;Marquinhos;2298;6;https://www.lequipe.fr/Football/FootballFicheJoueur46961.html
x;BASKET_SPORTIF;Rudy Gobert;2052;13;https://www.lequipe.fr/Basket/BasketFicheJoueur4470.html
x;FOOTBALL_SPORTIF;Mohamed Salah;2019;6;https://www.lequipe.fr/Football/FootballFicheJoueur45950.html
x;NATATION_SPORTIF;Florent Manaudou;1985;1;https://www.lequipe.fr/Natation/NatationFicheAthlete11000000000024900.html
x;CYCLISME_SPORTIF;Romain Bardet;1975;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11320.html
x;FOOTBALL_SPORTIF;Didier Drogba;1932;1;https://www.lequipe.fr/Football/FootballFicheJoueur7574.html
x;JUDO_SPORTIF;Teddy Riner;1901;23;https://www.lequipe.fr/Judo/AussiFicheAthlete58221.html
x;TENNIS_SPORTIF;Nicolas Mahut;1789;2;https://www.lequipe.fr/Tennis/TennisFicheJoueur7574.html
x;FOOTBALL_SPORTIF;Daniel Alves;1724;1;https://www.lequipe.fr/Football/FootballFicheJoueur18675.html
x;FOOTBALL_SPORTIF;David Beckham;1604;5;https://www.lequipe.fr/Football/FootballFicheJoueur3895.html
x;BASKET_SPORTIF;Nicolas Batum;1588;22;https://www.lequipe.fr/Basket/BasketFicheJoueur4000000000003280.html
