ID;TYPE;LIBELLE;IMP;NB;URL
10189;CYCLISME_SPORTIF;Audrey Cordon-Ragot;140;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur10189.html
10280;CYCLISME_SPORTIF;Elia Viviani;271;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur10280.html
10293;CYCLISME_SPORTIF;Thibaut Pinot;2866;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur10293.html
10318;FOOTBALL_SPORTIF;Ronaldinho;1300;2;https://www.lequipe.fr/Football/FootballFicheJoueur10318.html
1043;BASKET_SPORTIF;Vince Carter;73;1;https://www.lequipe.fr/Basket/BasketFicheJoueur1043.html
10530;CYCLISME_SPORTIF;Elizabeth Armitstead-Deignan;9;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur10530.html
10768;CYCLISME_SPORTIF;Romain Bardet;1975;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur10768.html
10969;ATHLETISME_SPORTIF;Dimitri Bascou;137;1;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete10969.html
11014;CYCLISME_SPORTIF;Annemiek Van Vleuten;162;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11014.html
11140;CYCLISME_SPORTIF;Alexis Vuillermoz;177;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11140.html
1131;BASKET_SPORTIF;Tony Parker;2789;25;https://www.lequipe.fr/Basket/BasketFicheJoueur1131.html
11320;CYCLISME_SPORTIF;Julian Alaphilippe;2944;4;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11320.html
11490;CYCLISME_SPORTIF;Primoz Roglic;1031;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11490.html
11522;CYCLISME_SPORTIF;Mathieu Van Der Poel;1072;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11522.html
11532;CYCLISME_SPORTIF;Wout Van Aert;904;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11532.html
11617;CYCLISME_SPORTIF;Guillaume Martin;285;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11617.html
11628;CYCLISME_SPORTIF;Rémi Cavagna;117;7;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11628.html
11864;CYCLISME_SPORTIF;Benjamin Thomas;143;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11864.html
1222;BASKET_SPORTIF;Edwige Lawson;66;1;https://www.lequipe.fr/Basket/BasketFicheJoueur1222.html
12290;CYCLISME_SPORTIF;David Gaudu;466;5;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur12290.html
1229;BASKET_SPORTIF;Yannick Souvre;7;1;https://www.lequipe.fr/Basket/BasketFicheJoueur1229.html
1331;BASKET_SPORTIF;Sarunas Jasikevicius;23;1;https://www.lequipe.fr/Basket/BasketFicheJoueur1331.html
136;BASKET_SPORTIF;Frédéric Weis;19;1;https://www.lequipe.fr/Basket/BasketFicheJoueur136.html
13991;TAEKWONDO_SPORTIF;Pascal Gentil;21;1;https://www.lequipe.fr/Sport/AussiFicheAthlete13991.html
14208;CYCLISME_SPORTIF;Anna Kiesenhofer;-98;4;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur14208.html
1553;BASKET_SPORTIF;Yakhouba Diawara;57;1;https://www.lequipe.fr/Basket/BasketFicheJoueur1553.html
15711;FOOTBALL_SPORTIF;Bob Wilson;67;1;https://www.lequipe.fr/Football/FootballFicheJoueur15711.html
1583;BASKET_SPORTIF;Boris Diaw;914;7;https://www.lequipe.fr/Basket/BasketFicheJoueur1583.html
15992;ATHLETISME_SPORTIF;Jimmy Vicaut;958;2;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete15992.html
164;CYCLISME_SPORTIF;David Millar;57;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur164.html
16591;FOOTBALL_SPORTIF;Gaël Clichy;290;1;https://www.lequipe.fr/Football/FootballFicheJoueur16591.html
16673;FOOTBALL_SPORTIF;Wayne Rooney;2857;1;https://www.lequipe.fr/Football/FootballFicheJoueur16673.html
17593;CYCLISME_SUR_PISTE_SPORTIF;Severino Angella;48;1;https://www.lequipe.fr/Sport/AussiFicheAthlete17593.html
175;BASKET_SPORTIF;Laurent Sciarra;24;2;https://www.lequipe.fr/Basket/BasketFicheJoueur175.html
179216;RUGBY_A_7_SPORTIF;Julien Candelon;6;1;https://www.lequipe.fr/Rugby-a-7/AussiFicheAthlete179216.html
18006;ATHLETISME_SPORTIF;Kevin Mayer;1254;2;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete18006.html
18675;FOOTBALL_SPORTIF;Daniel Alves;1724;1;https://www.lequipe.fr/Football/FootballFicheJoueur18675.html
20146;FOOTBALL_SPORTIF;Houssine Kharja;64;2;https://www.lequipe.fr/Football/FootballFicheJoueur20146.html
20761;NATATION_SPORTIF;Michael Phelps;899;1;https://www.lequipe.fr/Natation/NatationFicheAthlete20761.html
21222;FOOTBALL_SPORTIF;André-Pierre Gignac;4424;9;https://www.lequipe.fr/Football/FootballFicheJoueur21222.html
2164;TENNIS_SPORTIF;Michaël Llodra;674;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur2164.html
22489;FOOTBALL_SPORTIF;Cafu;29;1;https://www.lequipe.fr/Football/FootballFicheJoueur22489.html
22894;FOOTBALL_SPORTIF;Micah Richards;66;1;https://www.lequipe.fr/Football/FootballFicheJoueur22894.html
22966;FOOTBALL_SPORTIF;Papiss Demba Cissé;184;3;https://www.lequipe.fr/Football/FootballFicheJoueur22966.html
2370;BASKET_SPORTIF;Pau Gasol;383;6;https://www.lequipe.fr/Basket/BasketFicheJoueur2370.html
23845;FOOTBALL_SPORTIF;Chu-young Park;103;4;https://www.lequipe.fr/Football/FootballFicheJoueur23845.html
